tweet_raw_id,tweet_created_at,tweet_retweeted_status_id,tweet_quoted_status_id,tweet_in_reply_to_status_id,user_raw_id,article_id,site_id,site_label
732266768236986373,2016-05-16 17:49:37,,,,344784108,350635,11,0
732266772426985472,2016-05-16 17:49:38,,,,75243680,350928,60,0
732266806564421632,2016-05-16 17:49:46,,,,3896502192,34089,2,1
732266831717662720,2016-05-16 17:49:52,732260358182723584,,,2770101298,350977,4,1
732266843696599040,2016-05-16 17:49:55,,,,160066371,1170452,51,0
732266906439143424,2016-05-16 17:50:10,,732244466497691648,,3399465845,196346,68,0
732266975469113344,2016-05-16 17:50:26,,,,220391543,349970,41,0
732266995736035330,2016-05-16 17:50:31,732266843696599040,,,456686553,1170452,51,0
732267015591841792,2016-05-16 17:50:36,,731206200738488321,,700401994633256960,1170348,56,0
732267018993455104,2016-05-16 17:50:36,732253900821004288,,,713154978811142145,349795,56,0
732267020402622468,2016-05-16 17:50:37,,,,1268941237,349981,4,1
732267021950287872,2016-05-16 17:50:37,,,,115392787,350911,56,0
732267035393134592,2016-05-16 17:50:40,,,,729111436136468481,350295,56,0
732267043504959488,2016-05-16 17:50:42,732263288449454080,,,228582708,350755,56,0
732267046998708225,2016-05-16 17:50:43,732264116832731137,,,704303044662439936,350955,56,0
732267083996614656,2016-05-16 17:50:52,,,,4851007693,2109349,21,0
732267116427116544,2016-05-16 17:51:00,,,732222384883826689,2605511328,351014,4,1
732267147926212608,2016-05-16 17:51:07,,,,2346152484,349262,54,0
732267226384990208,2016-05-16 17:51:26,732264116832731137,,,1446532243,350955,56,0
732267235981426689,2016-05-16 17:51:28,,,,52624182,1170428,56,0
732267268395171841,2016-05-16 17:51:36,729144007264194562,,,46529776,182707,30,0
732267368123138049,2016-05-16 17:52:00,732232292546961409,,,45450902,350539,41,0
732267379485446144,2016-05-16 17:52:02,732256166391078912,732237495383941120,,713571943493009408,350711,56,0
732267385047138304,2016-05-16 17:52:04,,,,2494665881,1170453,51,0
732267390214524931,2016-05-16 17:52:05,732264129117884416,,,1446532243,1170450,56,0
732267394484305920,2016-05-16 17:52:06,,,,4676548814,1170412,51,0
732267432396492800,2016-05-16 17:52:15,,732244466497691648,,861317780,196346,68,0
732267506258214912,2016-05-16 17:52:33,732258019812073472,,,1922002836,11774,56,0
732267508720357376,2016-05-16 17:52:33,,,,4182659903,9712,2,1
732267512633556992,2016-05-16 17:52:34,,732169631893454849,,3226104787,1170365,56,0
732267542677475328,2016-05-16 17:52:41,,731204761072992256,,700401994633256960,11774,56,0
732267614114811906,2016-05-16 17:52:58,732263161827495937,,,2935416411,349814,56,0
732267645005750272,2016-05-16 17:53:06,732263161827495937,,,73390283,349814,56,0
732267690480435200,2016-05-16 17:53:16,732244604800643073,,,2839105630,1170428,56,0
732267750807068673,2016-05-16 17:53:31,732263161827495937,,,27686745,349814,56,0
732267769719336960,2016-05-16 17:53:35,,,732267508720357376,4182659903,9712,2,1
732267817446211584,2016-05-16 17:53:47,,,732266511021146112,488513024,1170455,51,0
732267931279720448,2016-05-16 17:54:14,,728735736753721344,728229526828802049,414003816,350188,3,1
732267964326502401,2016-05-16 17:54:22,,732244604800643073,,929792940,1170428,56,0
732267976104251397,2016-05-16 17:54:25,732267817446211584,,,1024446733,1170455,51,0
732267989068746754,2016-05-16 17:54:28,731633127932592129,,,3226104787,1170335,56,0
732268007653670912,2016-05-16 17:54:32,732237929490186245,,,709778631543787520,11774,56,0
732268009478193152,2016-05-16 17:54:32,732237929490186245,,,383583763,11774,56,0
732268078466113537,2016-05-16 17:54:49,732263161827495937,,,383583763,349814,56,0
732268098527633408,2016-05-16 17:54:54,,,,48799761,349703,41,0
732268101710974976,2016-05-16 17:54:54,732263162678890497,,,4687754948,349814,56,0
732268183768309760,2016-05-16 17:55:14,,,,109065990,349776,56,0
732268183822860288,2016-05-16 17:55:14,,,,993451813,349776,56,0
732268183873191936,2016-05-16 17:55:14,,,,14505245,349776,56,0
732268186213711872,2016-05-16 17:55:15,,732232292546961409,,226628296,350539,41,0
732268188797296641,2016-05-16 17:55:15,732267964326502401,732244604800643073,,3927572774,1170428,56,0
732268212365209600,2016-05-16 17:55:21,,,,3194954122,1170317,56,0
732268220887883776,2016-05-16 17:55:23,732258019812073472,,,64418768,11774,56,0
732268231923249152,2016-05-16 17:55:26,,,,720930434343952384,350912,56,0
732268232585953280,2016-05-16 17:55:26,732220327753699330,,,262529998,350503,40,0
732268233173155847,2016-05-16 17:55:26,,,,720930434343952384,350911,56,0
732268235219976192,2016-05-16 17:55:26,,,,720930434343952384,350955,56,0
732268236247605248,2016-05-16 17:55:27,,,,720930434343952384,1170450,56,0
732268237380042753,2016-05-16 17:55:27,,,,720930434343952384,1170454,56,0
732268247542865920,2016-05-16 17:55:29,674394162884669440,,,87188438,351021,41,0
732268255868506112,2016-05-16 17:55:31,732268183768309760,,,165145111,349776,56,0
732268264005328897,2016-05-16 17:55:33,732268098527633408,,,2195049319,349703,41,0
732268264663986179,2016-05-16 17:55:33,,732232292546961409,,117304641,350539,41,0
732268281583767553,2016-05-16 17:55:37,,,732265875076747268,86246052,351024,4,1
732268292690182144,2016-05-16 17:55:40,732267931279720448,728735736753721344,,2502295011,350188,3,1
732268301737283585,2016-05-16 17:55:42,732244604800643073,,,383583763,1170428,56,0
732268302689439744,2016-05-16 17:55:42,732268183768309760,,,1049634204,349776,56,0
732268309945696257,2016-05-16 17:55:44,722996587497160704,,,2172271177,349060,14,0
732268311564652547,2016-05-16 17:55:45,732268183768309760,,,23047147,349776,56,0
732268312323866624,2016-05-16 17:55:45,732268183768309760,,,719604604204400644,349776,56,0
732268344024256512,2016-05-16 17:55:52,732169631893454849,,,383583763,1170365,56,0
732268398764232704,2016-05-16 17:56:05,,,,1392907694,351023,4,1
732268408755105792,2016-05-16 17:56:08,732268183768309760,,,228582708,349776,56,0
732268410600460288,2016-05-16 17:56:08,731943742349795328,,,383583763,349197,56,0
732268415981891592,2016-05-16 17:56:09,732268183768309760,,,711604246404317184,349776,56,0
732268419970703360,2016-05-16 17:56:10,732244604800643073,,,402061844,1170428,56,0
732268435661422592,2016-05-16 17:56:14,731930149642326017,,,383583763,349345,56,0
732268446143131650,2016-05-16 17:56:17,732267964326502401,732244604800643073,,186506052,1170428,56,0
732268448601018368,2016-05-16 17:56:17,732244604800643073,,,2188590806,1170428,56,0
732268455777423360,2016-05-16 17:56:19,729807358340239360,,,4705344695,39600,56,0
732268468905476096,2016-05-16 17:56:22,731918682146803712,,,383583763,349239,56,0
732268488950059009,2016-05-16 17:56:27,732264116832731137,,,3320668554,350955,56,0
