,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
283,2016-09-01,22222,523871901,35,5,32,77
284,2016-09-01,201914,47408060,0,70,5,77
285,2016-09-01,451260,538334228,24,31,19,77
286,2016-09-01,13613,3436249294,1,74,0,75
287,2016-09-01,326811,8104962,6,9,47,75
288,2016-09-01,36699,15471611,0,74,0,74
289,2016-09-01,131366,90061805,31,0,43,74
290,2016-09-01,247375,216449581,19,48,0,74
291,2016-09-01,371307,330802969,1,70,1,73
292,2016-09-01,655687,717305112,67,1,5,73
293,2016-09-01,3438,865200110,0,69,3,72
294,2016-09-01,35929,42291075,0,72,0,72
295,2016-09-01,267271,738759178139770880,0,72,0,72
296,2016-09-01,469663,104865001,0,69,0,72
297,2016-09-01,19674,306605069,0,71,0,71
298,2016-09-01,86749,728667927776464896,0,71,0,71
299,2016-09-01,497845,759519756097499137,0,68,0,71
300,2016-10-01,238491,14109218,25,23,791,839
301,2016-10-01,309449,751267069551734791,572,0,0,572
302,2016-10-01,2073,8953122,341,7,0,354
303,2016-10-01,3032,426903572,0,325,0,325
304,2016-10-01,5471,2896866728,265,0,0,265
305,2016-10-01,471315,2183165196,265,0,0,265
306,2016-10-01,594042,572755657,166,5,65,236
307,2016-10-01,471359,1649395076,75,143,6,227
308,2016-10-01,333614,22866294,8,1,203,212
309,2016-10-01,898980,1688968130,2,0,205,207
310,2016-10-01,250181,2995751217,188,1,1,191
311,2016-10-01,2618,3317649485,168,3,0,172
312,2016-10-01,559191,438492113,3,10,152,165
313,2016-10-01,7801,1101298442,0,158,0,164
314,2016-10-01,672258,1537589275,7,1,149,157
315,2016-10-01,751157,780307178804486144,0,153,0,153
316,2016-10-01,2775,116099364,151,0,0,151
317,2016-10-01,41364,305624398,141,9,0,150
318,2016-10-01,1021861,197189207,10,1,139,150
319,2016-10-01,589473,766828437235306496,21,0,120,148
320,2016-10-01,142360,15256049,116,20,1,143
321,2016-10-01,271731,747834623686774784,110,21,0,137
322,2016-10-01,375069,289118612,132,1,0,133
323,2016-10-01,29690,247642500,1,16,95,113
324,2016-10-01,452742,832486927,23,78,0,102
325,2016-10-01,915804,770749612722225152,98,0,0,101
326,2016-10-01,282514,20849008,17,0,76,97
327,2016-10-01,128198,14421907,77,1,18,96
328,2016-10-01,610221,3730426754,75,11,0,95
329,2016-10-01,786409,111584285,11,82,0,93
330,2016-10-01,6950,2734299494,92,0,0,92
331,2016-10-01,739635,425822300,0,0,84,84
332,2016-10-01,76929,4514651121,0,83,0,83
333,2016-10-01,90731,44114618,1,77,5,83
334,2016-10-01,848934,773294243565580288,1,0,82,83
335,2016-10-01,252357,1903513172,5,1,76,82
336,2016-10-01,244310,1155270618,0,80,0,80
337,2016-10-01,2283,2156190929,16,18,38,79
338,2016-10-01,305277,49874045,75,0,0,79
339,2016-10-01,111590,2461730594,9,56,0,77
340,2016-10-01,719607,778770134760423424,0,75,0,76
341,2016-10-01,22998,153177381,0,75,0,75
342,2016-10-01,24110,430459707,73,1,0,74
343,2016-10-01,763014,4116748690,0,74,0,74
344,2016-10-01,307729,3235507315,0,73,0,73
345,2016-10-01,6777,22707692,41,27,2,70
346,2016-10-01,64943,64035970,14,11,45,70
347,2016-10-01,335014,3111378558,0,65,0,70
348,2016-10-01,795834,437656569,0,68,0,70
349,2016-10-01,703661,776839703832035328,0,65,1,69
350,2016-10-01,431664,2812310034,0,68,0,68
351,2016-10-01,657244,774637238340562946,0,0,68,68
352,2016-10-01,79734,16540169,2,7,58,67
353,2016-10-01,116388,213118052,1,64,2,67
354,2016-10-01,544726,4640736685,9,0,58,67
355,2016-10-01,296474,34284291,60,6,0,66
356,2016-10-01,574451,3288394404,0,65,0,65
