,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
455,2016-07-01,12348,2894992537,109,0,0,109
456,2016-07-01,12621,1246856551,105,3,0,109
457,2016-07-01,14589,865242169,106,3,0,109
458,2016-07-01,91770,735254665097564161,0,109,0,109
459,2016-07-01,367546,3308820444,2,1,106,109
460,2016-07-01,464,102304238,4,104,0,108
461,2016-07-01,1817,4851493023,0,108,0,108
462,2016-07-01,6333,3021539556,1,107,0,108
463,2016-07-01,11869,824328062,15,93,0,108
464,2016-07-01,70276,145856687,0,108,0,108
465,2016-07-01,242656,563784766,0,0,108,108
466,2016-07-01,1000,2980186012,2,105,0,107
467,2016-07-01,4974,4687754948,0,107,0,107
468,2016-07-01,8439,2753220014,90,0,2,107
469,2016-07-01,9266,263787445,106,1,0,107
470,2016-07-01,13957,2996768938,75,28,4,107
471,2016-07-01,17570,4510755552,22,85,0,107
472,2016-07-01,51154,737450550,72,14,6,107
473,2016-07-01,272737,746840006531092481,0,105,0,107
474,2016-07-01,7253,4228642894,55,12,38,106
475,2016-07-01,7844,310643025,3,102,0,106
476,2016-07-01,293797,738856920937861120,9,75,0,106
477,2016-07-01,583,1400943320,4,100,0,105
478,2016-07-01,1022,4879264024,1,103,0,105
479,2016-07-01,2318,2771504797,105,0,0,105
480,2016-07-01,4277,48866739,0,104,0,105
481,2016-07-01,7981,1433237178,105,0,0,105
482,2016-07-01,9199,2887593005,1,102,0,105
483,2016-07-01,327295,2456066117,5,93,0,105
484,2016-07-01,1252,871599601,29,36,17,104
485,2016-07-01,4531,338567078,26,71,2,104
486,2016-07-01,18845,553991829,0,97,7,104
487,2016-07-01,30465,250365695,47,45,11,104
488,2016-07-01,43677,169943413,79,8,17,104
489,2016-07-01,197441,110769384,0,102,0,104
490,2016-07-01,6015,3308781515,0,103,0,103
491,2016-07-01,12603,96807699,30,31,36,103
492,2016-07-01,98785,27752166,87,16,0,103
493,2016-07-01,104328,75903151,2,63,0,103
494,2016-07-01,1209,713690590102335488,4,54,0,102
495,2016-07-01,1570,228055022,0,98,0,102
496,2016-07-01,2474,2723902734,11,85,0,102
497,2016-07-01,11076,716054156767678464,0,100,2,102
498,2016-07-01,16641,15995652,5,69,0,102
499,2016-07-01,25710,525847693,0,102,0,102
500,2016-07-01,45793,21802725,0,100,0,102
501,2016-07-01,14,2571872893,0,69,0,101
502,2016-07-01,157,2784956779,101,0,0,101
503,2016-07-01,1764,45208226,0,98,0,101
504,2016-07-01,2039,3680356815,2,99,0,101
505,2016-07-01,5336,3194954122,99,1,0,101
506,2016-07-01,12427,462370197,100,1,0,101
