id,date_captured,tweet_counts
63785,2016-08-02 20:11:13.190492,57
63811,2016-08-02 20:20:25.135113,17
63853,2016-08-02 20:42:33.606714,15
63878,2016-08-02 20:52:45.812894,45
63906,2016-08-02 21:06:35.535447,10
63952,2016-08-02 21:31:10.279757,16
63983,2016-08-02 21:45:53.57309,14
63984,2016-08-02 21:48:42.98048,87
63986,2016-08-02 21:54:48.758982,109
63997,2016-08-02 21:50:49.328202,35
64010,2016-08-02 22:08:03.484229,1
64028,2016-08-02 22:17:06.818656,4
64051,2016-08-02 22:29:36.329617,43
64066,2016-08-02 22:40:54.415074,51
64069,2016-06-29 13:20:54.103219,200
64122,2016-08-02 23:21:46.012112,1
64155,2016-08-02 23:51:52.140466,1
64156,2016-08-02 23:54:09.094916,1
64164,2016-08-03 00:04:05.633712,99
64174,2016-08-03 00:12:48.413575,32
64202,2016-08-03 00:37:56.111389,20
64232,2016-08-03 00:55:13.512268,2
64239,2016-08-03 01:05:00.479387,1
64248,2016-08-03 01:12:07.405295,1
64303,2016-08-03 02:06:00.046672,86
64312,2016-08-03 02:16:54.522412,2
64337,2016-08-03 02:34:31.638008,2
64382,2016-08-03 03:16:32.154083,1
64435,2016-08-03 03:56:04.344448,8
64451,2016-08-03 04:14:55.497402,5
64457,2016-06-29 13:20:54.103219,171
64475,2016-08-03 04:41:58.245782,543
64495,2016-08-03 05:09:31.519626,1
64549,2016-08-03 06:09:51.538134,1
64550,2016-08-03 06:10:05.874962,3
64614,2016-08-03 07:10:52.760355,4
64774,2016-08-03 10:49:14.670672,1
64828,2016-08-03 11:25:12.296022,134
64862,2016-08-03 11:58:26.728051,1
64884,2016-08-03 12:18:33.907593,4
64888,2016-08-03 12:19:04.96319,1
64904,2016-08-03 12:32:45.294852,6
64907,2016-08-03 12:35:19.926664,2
64924,2016-08-03 12:50:42.693201,1
64962,2016-08-03 13:07:16.276141,1
64972,2016-08-03 13:08:20.68001,1
65075,2016-08-03 13:56:05.987285,3
65109,2016-08-03 14:15:16.969643,178
65121,2016-08-03 14:21:26.618651,131
65211,2016-08-03 15:08:20.968802,3
65258,2016-08-03 15:27:29.640468,2
65272,2016-08-03 15:33:15.899485,1
65294,2016-08-03 15:50:21.551918,52
65336,2016-08-03 16:06:55.554738,1
65378,2016-08-03 16:22:29.690868,1
65390,2016-08-03 16:29:11.738876,1
65399,2016-08-03 16:32:36.725081,19
65414,2016-08-03 16:38:36.21264,3
65423,2016-08-03 16:42:36.890955,1
65444,2016-08-03 16:54:28.086276,1
65449,2016-08-03 16:56:10.274431,2
65450,2016-08-03 16:56:12.526925,37
65452,2016-08-03 16:56:54.093254,3
65475,2016-08-03 17:03:14.462745,1
65478,2016-08-03 17:05:18.436371,1
65495,2016-08-03 17:11:09.601859,4
65497,2016-08-03 17:11:32.205124,3
65504,2016-08-03 17:12:08.973498,550
65514,2016-08-03 17:15:41.710157,1
65518,2016-08-03 17:17:39.939873,23
65529,2016-08-03 17:22:58.561708,1
65536,2016-08-03 17:28:40.388738,2
65542,2016-08-03 17:29:22.002448,2
65548,2016-08-03 17:32:57.468192,1
65553,2016-08-03 17:34:25.558684,1
65556,2016-08-03 17:36:26.125548,1
65561,2016-08-03 17:39:32.447925,1
65573,2016-08-03 17:45:46.103734,1
65574,2016-08-03 17:45:15.842996,1
65583,2016-08-03 17:48:41.522748,42
65604,2016-08-03 17:58:41.177403,1
65665,2016-08-03 18:29:44.123648,1
65673,2016-08-03 18:31:35.38499,48
65680,2016-08-03 18:34:59.043465,2
65688,2016-08-03 18:39:06.731205,24
65732,2016-08-03 19:04:36.875729,58
65786,2016-08-03 19:43:32.976998,22
65840,2016-08-03 20:09:36.684763,134
65851,2016-08-03 20:17:57.016665,178
65857,2016-08-03 20:21:09.539411,63
65897,2016-08-03 20:38:14.300381,27
65903,2016-08-03 20:41:38.802617,9
65942,2016-08-03 21:04:05.595313,2
66026,2016-08-03 21:56:07.693635,1
66034,2016-08-03 21:57:52.218716,2
66035,2016-08-03 22:00:33.827719,2
66052,2016-08-03 22:06:39.912594,93
66076,2016-08-03 22:21:46.389269,158
66129,2016-08-03 23:00:54.018794,12
66199,2016-08-03 23:44:54.864759,1
66219,2016-08-03 23:55:59.494085,1
66232,2016-08-04 00:03:49.882627,1
66251,2016-08-04 00:19:16.598591,2
66298,2016-08-04 01:01:15.923784,1
66308,2016-08-04 01:10:29.431524,14
66344,2016-08-04 01:34:09.309124,195
66367,2016-08-04 01:50:45.226128,1
66383,2016-08-04 02:02:46.042435,2
66395,2016-08-04 02:08:11.237392,12
66418,2016-08-04 02:25:33.729654,1
66452,2016-08-04 02:52:33.310296,24
66463,2016-08-04 02:56:16.893869,1
66487,2016-08-04 03:28:47.12172,3
66489,2016-08-04 03:31:13.657838,3
66495,2016-08-04 03:35:59.051763,33
66526,2016-08-04 04:02:02.552953,29
66648,2016-08-04 06:20:15.342591,4
66728,2016-08-04 07:51:25.975107,1
66818,2016-08-04 10:11:35.262242,1
66949,2016-08-04 12:07:37.052969,2
67017,2016-08-04 12:43:25.499398,1
67077,2016-08-04 13:25:36.662542,9
67155,2016-08-04 14:14:51.905495,1
67183,2016-08-04 14:25:48.238113,1
67231,2016-08-04 14:47:08.565539,1
67254,2016-08-04 14:59:20.294819,1
67270,2016-08-04 15:08:32.62461,1
67272,2016-08-04 15:09:59.189206,1
67277,2016-08-04 15:14:11.733459,1
67280,2016-08-04 15:15:46.508847,1
67318,2016-08-04 15:28:35.657782,1
67336,2016-08-04 15:39:15.3415,1
67339,2016-08-04 15:40:46.822906,126
67349,2016-08-04 15:43:11.472818,1
67352,2016-08-04 15:45:39.578021,383
67355,2016-08-04 15:47:31.951291,1
67356,2016-08-04 15:47:33.648075,51
67363,2016-08-04 15:55:18.593598,1
67365,2016-08-04 15:54:52.713479,1
67366,2016-08-04 15:56:04.235185,1
67404,2016-08-04 16:14:57.773517,3
67477,2016-08-04 16:47:27.404472,434
67478,2016-08-04 16:48:00.769496,298
67516,2016-08-04 17:04:41.376799,793
67544,2016-08-04 17:17:56.951932,59
67554,2016-06-29 13:20:54.103219,18
67600,2016-08-04 17:35:26.58369,22
67657,2016-08-04 18:03:29.505213,3
67680,2016-08-04 18:15:31.93269,13
67714,2016-08-04 18:30:43.290167,6
67740,2016-08-04 18:38:44.384126,13
67741,2016-08-04 18:40:08.493837,10
67765,2016-08-04 18:52:11.167625,16
67785,2016-08-04 19:01:34.765326,237
67804,2016-08-04 19:08:18.411913,3
67805,2016-08-04 19:09:52.344103,17
67817,2016-08-04 19:13:40.140334,56
67838,2016-08-04 19:28:30.106768,5
67871,2016-08-04 19:45:50.418376,20
67873,2016-08-04 19:46:28.155013,183
67891,2016-08-04 19:59:24.842938,14
67902,2016-08-04 20:06:09.371787,59
67905,2016-08-04 20:06:10.907204,4325
67932,2016-08-04 20:21:36.877835,4
67981,2016-08-04 20:43:13.061428,2
68003,2016-08-04 20:57:12.768434,43
68123,2016-08-04 22:13:26.124113,21
68125,2016-08-04 22:13:42.951887,138
68162,2016-08-04 22:37:08.804082,28
68170,2016-08-04 22:42:30.998402,28
68174,2016-08-04 22:47:00.024282,6
68213,2016-08-04 23:31:01.222693,1
68322,2016-08-05 00:42:43.722494,21
68323,2016-08-05 00:41:14.803294,1
68328,2016-08-05 00:48:01.532417,1
68463,2016-08-05 02:36:13.406837,39
68477,2016-08-05 02:44:41.449961,1
68493,2016-08-05 03:05:43.099553,9
68504,2016-08-05 03:19:38.34447,81
68535,2016-08-05 03:59:10.354029,1
68537,2016-08-05 03:50:50.689687,6
68549,2016-08-05 04:10:24.779622,1
68561,2016-08-05 04:25:36.400965,3
68598,2016-08-05 04:52:29.02857,22
68603,2016-08-05 04:53:19.6326,4
68628,2016-08-05 05:12:16.690163,1
68717,2016-08-05 06:25:24.882004,7
68768,2016-08-05 07:27:53.405965,1
68790,2016-08-05 07:52:22.486194,1
68809,2016-08-05 08:15:24.431137,1
68812,2016-08-05 08:26:06.468873,2
68813,2016-08-05 08:23:08.978567,3
68818,2016-08-05 08:29:18.978652,1
68826,2016-08-05 08:41:47.193053,1
68925,2016-08-05 10:49:38.575809,1
68953,2016-08-05 11:02:34.529037,3
68958,2016-08-05 11:05:38.675172,5
69108,2016-08-05 12:30:37.93221,1
69132,2016-08-05 12:43:37.294805,1
69203,2016-08-05 13:32:06.590642,1
69212,2016-08-05 13:35:46.383376,1
69220,2016-08-05 13:42:31.346286,1
69233,2016-08-05 13:46:08.212595,2
69236,2016-08-05 13:50:15.758401,2
69239,2016-08-05 13:51:13.115648,2
69247,2016-08-05 13:53:52.021881,1
69258,2016-08-05 14:01:05.558215,2
69276,2016-08-05 14:05:12.41786,1
69290,2016-08-05 14:09:22.393976,1
69303,2016-08-05 14:17:08.564392,1
69308,2016-08-05 14:17:09.416737,1
69326,2016-08-05 14:24:57.307264,1
69335,2016-08-05 14:29:07.607099,1
69340,2016-08-05 14:34:17.957489,1
69377,2016-08-05 14:54:49.670888,1
69396,2016-08-05 15:01:30.353722,1
69399,2016-08-05 15:05:10.358393,1
69408,2016-08-05 15:06:04.449562,30
69413,2016-08-05 15:09:17.694085,1
69431,2016-08-05 15:13:56.592141,1
69435,2016-08-05 15:18:04.49921,1
69451,2016-08-05 15:22:12.045814,1
69462,2016-08-05 15:25:49.023285,1
69477,2016-08-05 15:31:30.14062,1
69504,2016-08-05 15:37:57.457145,117
69506,2016-08-05 15:40:46.197579,1
69509,2016-08-05 15:39:05.802184,11
69510,2016-08-05 15:37:09.539163,1
69521,2016-08-05 15:44:23.840561,1
69523,2016-08-05 15:45:04.735119,138
69526,2016-08-05 15:48:01.468405,1
69536,2016-08-05 15:52:40.466399,1
69549,2016-08-05 15:56:18.491217,1
69556,2016-08-05 15:59:23.021448,1
69557,2016-08-05 16:02:59.663892,1
69573,2016-08-05 16:06:06.605892,1
69591,2016-08-05 16:14:51.476794,1
69594,2016-08-05 16:16:03.417653,3
69601,2016-08-05 16:17:51.017759,1
69612,2016-08-05 16:21:02.224357,1
69616,2016-08-05 16:24:38.982772,1
69635,2016-08-05 16:30:32.2482,3
69643,2016-08-05 16:33:28.122619,1
69649,2016-08-05 16:37:05.098425,1
69651,2016-08-05 16:38:35.643157,7167
69667,2016-08-05 16:40:11.621817,1
69670,2016-08-05 16:43:15.864579,1
69680,2016-08-05 16:48:46.056645,23
69703,2016-08-05 17:02:25.989535,252
69777,2016-08-05 17:42:11.73265,3
69783,2016-06-29 13:20:54.103219,660
69796,2016-08-05 17:51:30.401441,99
69799,2016-08-05 17:52:29.030881,2
69810,2016-06-29 13:20:54.103219,58
69828,2016-08-05 18:02:13.614942,1
69833,2016-08-05 18:08:04.154276,1
69871,2016-08-05 18:24:58.070511,23
69885,2016-08-05 18:29:59.729287,1
69933,2016-08-05 18:46:32.913388,59
69934,2016-08-05 18:49:09.095901,13
69942,2016-08-05 18:53:14.58353,4
69980,2016-08-05 19:02:08.96474,349
69987,2016-08-05 19:10:11.988228,194
69996,2016-08-05 19:14:30.968753,3
70008,2016-08-05 19:20:37.625614,1
70013,2016-08-05 19:21:03.430447,2
70025,2016-08-05 19:28:38.682714,46
70051,2016-08-05 19:41:10.674201,47
70058,2016-08-05 19:45:37.747279,5
70087,2016-08-05 19:59:12.764193,37
70185,2016-08-05 20:42:20.628578,5
70195,2016-08-05 20:46:48.765871,37
70209,2016-08-05 20:50:09.454832,2
70235,2016-08-05 21:01:36.750314,3
70274,2016-08-05 21:27:24.165177,1
70285,2016-08-05 21:35:19.744051,1
70294,2016-08-05 21:46:57.644361,12
70297,2016-08-05 21:49:54.54151,29
70324,2016-08-05 22:04:30.502381,60
70377,2016-08-05 22:31:07.605571,15
70407,2016-08-05 22:46:28.399813,163
70439,2016-08-05 23:09:44.603399,13
70455,2016-08-05 23:31:03.05387,121
70469,2016-08-05 23:45:06.801385,25
70483,2016-08-05 23:56:08.33621,3
70492,2016-08-06 00:02:35.481733,3
70523,2016-08-06 00:12:59.110457,64
70568,2016-08-06 00:58:00.769313,18
70579,2016-08-06 01:13:16.779315,1
70583,2016-08-06 01:14:42.511613,1
70588,2016-08-06 01:20:26.867402,4
70594,2016-08-06 01:27:04.217836,6
70612,2016-08-06 01:52:14.284167,2
70669,2016-08-06 02:49:55.17814,1
70752,2016-08-06 04:45:34.24322,1
70837,2016-08-06 06:49:57.557142,34
70985,2016-08-06 10:38:39.382558,3
71046,2016-08-06 11:50:25.951845,1
71064,2016-08-06 12:03:21.236379,1
71077,2016-08-06 12:25:46.821979,11
71125,2016-06-29 13:20:54.103219,24
71133,2016-08-06 13:22:04.921112,3
71186,2016-08-06 14:01:38.057788,2
71204,2016-08-06 14:12:17.99641,1
71262,2016-08-06 14:52:05.027355,1
71264,2016-06-29 13:20:54.103219,191
71272,2016-08-06 15:04:18.933008,1
71284,2016-08-06 15:19:52.166384,2
71295,2016-08-06 15:25:09.553773,2
71312,2016-08-06 15:32:35.53286,3
71360,2016-08-06 16:04:30.087921,37
71468,2016-08-06 17:14:34.756497,3
71471,2016-08-06 17:17:47.866398,1
71510,2016-08-06 17:45:55.507417,15
71532,2016-08-06 18:08:30.649517,2
71540,2016-08-06 18:17:07.711226,2
71564,2016-08-06 18:36:09.748413,134
71573,2016-06-29 13:20:54.103219,45
71576,2016-08-06 18:43:02.55169,2
71582,2016-08-06 18:46:25.895123,40
71623,2016-08-06 19:24:12.92148,1
71625,2016-08-06 19:27:37.334457,1
71656,2016-08-06 20:02:24.341206,1
71671,2016-08-06 20:15:54.284029,13
71684,2016-08-06 20:36:31.759276,6
71688,2016-08-06 20:41:19.18431,2
71703,2016-08-06 20:55:21.426281,1
71738,2016-08-06 21:37:09.353486,1
71788,2016-08-06 22:10:52.883528,4
71813,2016-08-06 22:44:33.088468,1
71814,2016-08-06 22:45:04.507054,2
71846,2016-08-06 23:15:17.429554,834
71863,2016-08-06 23:37:44.957118,1
71865,2016-08-06 23:41:44.854217,1
71900,2016-08-07 00:22:03.460803,1
71930,2016-06-29 13:20:54.103219,34
72075,2016-08-07 02:46:43.463849,1
72101,2016-08-07 03:18:04.3883,1
72105,2016-08-07 03:25:55.786349,1
72107,2016-08-07 03:27:28.962509,2
72484,2016-08-07 12:12:50.902918,1
72491,2016-06-29 13:20:54.103219,18
72512,2016-08-07 12:50:29.584624,3
72514,2016-08-07 12:50:58.678268,4
72590,2016-08-07 14:00:49.995723,2
72640,2016-08-07 14:32:46.005174,13
72645,2016-08-07 14:47:36.805546,1
72647,2016-08-07 14:48:18.339462,2
72648,2016-08-07 14:47:55.750016,1
72709,2016-08-07 15:34:20.572853,1
72731,2016-08-07 15:59:10.309851,1
72732,2016-06-29 13:20:54.103219,4
72734,2016-08-07 16:00:33.480376,1
72739,2016-08-07 16:00:53.808292,1
72834,2016-08-07 17:26:00.711498,1
72847,2016-08-07 17:36:25.012555,2
72870,2016-08-07 17:48:16.176211,19
72984,2016-08-07 19:35:10.61784,12
73024,2016-08-07 20:14:54.088692,6
73075,2016-08-07 21:01:10.778029,1
